b/h,a/h,T_0,P_OWC
1,0.5,13.25,5199.820095
1,0.5,13.5,4987.487208
1,0.5,13.75,4788.679672
1,0.5,14,4602.114351
1,0.5,14.25,4426.671027
1,0.5,14.5,4261.37014
1,0.5,14.75,4105.35282
1,0.5,15,3957.863381
1,0.6,4,136.1801288
1,0.6,4.25,290.4116694
1,0.6,4.5,399.9155895
1,0.6,4.75,753.5859723
1,0.6,5,1109.072028
1,0.6,5.25,1551.328017
1,0.6,5.5,2332.674193
1,0.6,5.75,3291.171906
1,0.6,6,4250.955969
1,0.6,6.25,5357.526305
1,0.6,6.5,6778.579241
1,0.6,6.75,8490.997056
1,0.6,7,10280.52067
1,0.6,7.25,11876.79551
1,0.6,7.5,13121.2058
1,0.6,7.75,14003.37925
1,0.6,8,14580.85534
1,0.6,8.25,14906.04735
1,0.6,8.5,15007.05253
1,0.6,8.75,14899.6768
1,0.6,9,14603.34713
1,0.6,9.25,14148.6203
1,0.6,9.5,13575.47549
1,0.6,9.75,12926.7925
1,0.6,10,12241.75682
1,0.6,10.25,11551.79676
1,0.6,10.5,10879.38164
1,0.6,10.75,10238.80202
1,0.6,11,9637.862374
1,0.6,11.25,9079.718942
1,0.6,11.5,8564.468917
1,0.6,11.75,8090.363944
1,0.6,12,7654.662915
1,0.6,12.25,7254.193625
1,0.6,12.5,6885.701122
1,0.6,12.75,6546.04944
1,0.6,13,6232.327341
1,0.6,13.25,5941.893906
1,0.6,13.5,5672.38811
1,0.6,13.75,5421.718119
1,0.6,14,5188.040222
1,0.6,14.25,4969.733426
1,0.6,14.5,4765.373265
1,0.6,14.75,4573.706787
1,0.6,15,4393.629682
1,0.7,4,85.92112719
1,0.7,4.25,175.3697012
1,0.7,4.5,234.8390605
1,0.7,4.75,435.0047069
1,0.7,5,640.4348525
1,0.7,5.25,877.8096404
1,0.7,5.5,1298.653047
1,0.7,5.75,1839.780679
1,0.7,6,2399.352739
1,0.7,6.25,3038.82872
1,0.7,6.5,3874.845219
1,0.7,6.75,4963.087663
1,0.7,7,6274.241762
1,0.7,7.25,7711.114235
1,0.7,7.5,9160.084654
1,0.7,7.75,10540.61684
1,0.7,8,11813.28986
1,0.7,8.25,12955.64357
1,0.7,8.5,13938.70632
1,0.7,8.75,14721.27382
1,0.7,9,15260.15844
1,0.7,9.25,15526.66469
1,0.7,9.5,15518.97961
1,0.7,9.75,15264.31438
1,0.7,10,14811.19254
1,0.7,10.25,14217.11347
1,0.7,10.5,13537.35519
1,0.7,10.75,12818.04111
1,0.7,11,12093.64892
1,0.7,11.25,11387.57251
1,0.7,11.5,10714.14924
1,0.7,11.75,10081.02343
1,0.7,12,9491.256457
1,0.7,12.25,8944.976267
1,0.7,12.5,8440.564534
1,0.7,12.75,7975.461661
1,0.7,13,7546.686554
1,0.7,13.25,7151.156595
1,0.7,13.5,6785.873798
1,0.7,13.75,6448.024559
1,0.7,14,6135.025448
1,0.7,14.25,5844.536547
1,0.7,14.5,5574.456199
1,0.7,14.75,5322.905908
1,0.7,15,5088.210705
1,0.8,4,56.32116633
1,0.8,4.25,108.5531478
1,0.8,4.5,139.7329378
1,0.8,4.75,252.3482136
1,0.8,5,367.1741547
1,0.8,5.25,490.1082029
1,0.8,5.5,705.9841029
1,0.8,5.75,986.5440236
1,0.8,6,1276.004154
1,0.8,6.25,1596.997134
1,0.8,6.5,2009.375033
1,0.8,6.75,2553.349774
1,0.8,7,3238.931556
1,0.8,7.25,4050.610927
1,0.8,7.5,4960.525997
